elect,reelection,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109]","[397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397, 397]",1.0,0.53590926742012901
elect,elector,['wn'],[1],[21],[109],[397],1.0,0.60220179570924026
elect,election,"['fn', 'wn']","['Change_of_leadership', 1]","['fn', 21]","['fn', 109]","['fn', 397]",0.9852941176470589,0.4521296889859252
pardon,pardon,"['fn', 'wn', 'wn', 'wn', 'wn', 'wn']","['Pardon', 0, 1, 2, 4, 4]","['fn', 1, 0, 0, 2, 2]","['fn', 1, 0, 0, 2, 2]","['fn', 27, 10, 10, 13, 13]",1.0,0.0
move,carry,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",1.0,0.74117249250411987
move,travel,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[34, 34, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0, 2, 1, 0]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",1.0,0.74032235145568848
move,walk,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0, 184, 184, 184, 184, 0, 0, 0, 0]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",0.625,0.68009290099143982
move,fly,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",0.75,0.73013067245483398
move,drift,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3, 6, 3]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",1.0,0.61501315236091614
move,coming,"['wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn', 'wn']","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276, 276]","[25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431, 25431]","[61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156, 61156]",0.5,0.596596360206604
